player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,def_actions_outside_pen_area_gk,Team,matchweek
Yann Sommer,9.0,1.0,8.0,88.9,2.1,10.0,30.0,4.0,66.7,1.0,Mönchengladbach,1.0
Manuel Neuer,4.0,1.0,3.0,75.0,0.4,6.0,44.0,9.0,18.2,2.0,Bayern Munich,1.0
Florian Müller,3.0,1.0,2.0,66.7,0.8,5.0,23.0,5.0,34.8,0.0,Stuttgart,1.0
Sascha Burchert,15.0,5.0,10.0,66.7,4.5,7.0,26.0,5.0,46.2,1.0,Greuther Fürth,1.0
Andreas Luthe,3.0,1.0,2.0,66.7,0.5,2.0,23.0,4.0,39.1,1.0,Union Berlin,1.0
Lukáš Hrádecký,5.0,1.0,4.0,80.0,0.8,8.0,33.0,3.0,39.4,1.0,Bayer Leverkusen,1.0
Koen Casteels,1.0,0.0,1.0,100.0,0.1,3.0,17.0,5.0,29.4,1.0,Wolfsburg,1.0
Manuel Riemann,7.0,1.0,6.0,85.7,3.5,21.0,53.0,6.0,64.2,5.0,Bochum,1.0
Stefan Ortega,6.0,0.0,6.0,100.0,1.2,21.0,61.0,2.0,59.0,1.0,Arminia,1.0
Mark Flekken,3.0,0.0,3.0,100.0,0.9,8.0,22.0,3.0,54.5,0.0,Freiburg,1.0
Rafał Gikiewicz,8.0,4.0,4.0,50.0,3.6,11.0,31.0,4.0,35.5,2.0,Augsburg,1.0
Oliver Baumann,0.0,0.0,0.0,0.0,0.0,6.0,39.0,9.0,25.6,1.0,Hoffenheim,1.0
Gregor Kobel,3.0,2.0,2.0,33.3,1.8,11.0,49.0,2.0,30.6,2.0,Dortmund,1.0
Kevin Trapp,7.0,5.0,2.0,28.6,3.5,11.0,35.0,5.0,48.6,2.0,Eintracht Frankfurt,1.0
Robin Zentner,2.0,0.0,2.0,100.0,0.6,5.0,23.0,7.0,60.9,2.0,Mainz 05,1.0
Péter Gulácsi,2.0,1.0,1.0,50.0,1.4,3.0,11.0,2.0,27.3,1.0,RB Leipzig,1.0
Timo Horn,5.0,1.0,4.0,80.0,1.7,10.0,27.0,1.0,25.9,0.0,Köln,1.0
Alexander Schwolow,5.0,3.0,2.0,40.0,2.4,8.0,18.0,3.0,50.0,0.0,Hertha BSC,1.0
Péter Gulácsi,5.0,0.0,5.0,100.0,1.0,4.0,34.0,8.0,47.1,0.0,RB Leipzig,2.0
Florian Müller,11.0,4.0,8.0,72.7,3.6,6.0,20.0,6.0,40.0,0.0,Stuttgart,2.0
Alexander Schwolow,3.0,2.0,1.0,33.3,1.1,2.0,22.0,3.0,45.5,1.0,Hertha BSC,2.0
Koen Casteels,4.0,1.0,4.0,100.0,1.2,4.0,33.0,1.0,24.2,2.0,Wolfsburg,2.0
Manuel Riemann,3.0,0.0,3.0,100.0,0.8,19.0,34.0,1.0,79.4,1.0,Bochum,2.0
Robin Zentner,4.0,2.0,2.0,50.0,1.6,1.0,24.0,7.0,16.7,2.0,Mainz 05,2.0
Sascha Burchert,2.0,1.0,0.0,50.0,0.6,7.0,30.0,6.0,33.3,1.0,Greuther Fürth,2.0
Stefan Ortega,4.0,1.0,4.0,100.0,1.4,21.0,42.0,1.0,78.6,0.0,Arminia,2.0
Mark Flekken,3.0,1.0,3.0,66.7,0.5,5.0,20.0,2.0,45.0,0.0,Freiburg,2.0
Gregor Kobel,4.0,2.0,2.0,50.0,1.2,1.0,35.0,6.0,8.6,3.0,Dortmund,2.0
Kevin Trapp,0.0,0.0,0.0,0.0,0.0,9.0,35.0,5.0,45.7,3.0,Eintracht Frankfurt,2.0
Rafał Gikiewicz,5.0,0.0,5.0,100.0,0.6,7.0,30.0,2.0,50.0,1.0,Augsburg,2.0
Lukáš Hrádecký,5.0,0.0,5.0,100.0,1.3,6.0,34.0,5.0,32.4,1.0,Bayer Leverkusen,2.0
Yann Sommer,5.0,4.0,2.0,20.0,2.9,4.0,19.0,2.0,26.3,0.0,Mönchengladbach,2.0
Oliver Baumann,8.0,2.0,6.0,75.0,3.3,3.0,34.0,5.0,23.5,2.0,Hoffenheim,2.0
Andreas Luthe,3.0,2.0,1.0,33.3,1.2,14.0,32.0,6.0,65.6,0.0,Union Berlin,2.0
Manuel Neuer,3.0,2.0,1.0,33.3,1.4,15.0,54.0,8.0,42.6,0.0,Bayern Munich,2.0
Timo Horn,6.0,3.0,3.0,50.0,2.4,4.0,28.0,3.0,35.7,2.0,Köln,2.0
Gregor Kobel,5.0,2.0,3.0,60.0,2.5,0.0,18.0,5.0,22.2,1.0,Dortmund,3.0
Oliver Baumann,13.0,3.0,10.0,76.9,3.8,5.0,33.0,7.0,45.5,1.0,Hoffenheim,3.0
Robin Zentner,1.0,0.0,1.0,100.0,0.1,4.0,18.0,1.0,38.9,2.0,Mainz 05,3.0
Sascha Burchert,9.0,3.0,6.0,66.7,3.3,9.0,40.0,3.0,60.0,1.0,Greuther Fürth,3.0
Florian Müller,7.0,3.0,4.0,57.1,1.7,4.0,26.0,3.0,26.9,1.0,Stuttgart,3.0
Mark Flekken,7.0,2.0,5.0,71.4,2.9,13.0,31.0,4.0,61.3,0.0,Freiburg,3.0
Stefan Ortega,3.0,1.0,2.0,66.7,1.7,16.0,42.0,5.0,59.5,3.0,Arminia,3.0
Kevin Trapp,4.0,1.0,3.0,75.0,1.0,6.0,42.0,4.0,45.2,1.0,Eintracht Frankfurt,3.0
Rafał Gikiewicz,5.0,4.0,2.0,20.0,1.4,6.0,17.0,5.0,35.3,1.0,Augsburg,3.0
Lukáš Hrádecký,4.0,1.0,3.0,75.0,1.6,11.0,44.0,9.0,29.5,2.0,Bayer Leverkusen,3.0
Timo Horn,1.0,1.0,0.0,0.0,0.8,3.0,15.0,2.0,26.7,2.0,Köln,3.0
Manuel Riemann,5.0,2.0,3.0,60.0,1.8,18.0,27.0,1.0,81.5,1.0,Bochum,3.0
Manuel Neuer,3.0,0.0,3.0,100.0,0.1,5.0,35.0,5.0,20.0,1.0,Bayern Munich,3.0
Alexander Schwolow,7.0,5.0,1.0,28.6,4.0,5.0,24.0,6.0,29.2,0.0,Hertha BSC,3.0
Andreas Luthe,5.0,1.0,4.0,80.0,1.4,13.0,25.0,1.0,88.0,2.0,Union Berlin,3.0
Yann Sommer,3.0,2.0,1.0,33.3,1.9,4.0,40.0,3.0,30.0,1.0,Mönchengladbach,3.0
