player,shirtnumber,nationality,position,age,minutes,goals,assists,touches,sca,gca,pens_made,shots_total,shots_on_target,pressures,tackles,interceptions,blocks,xg,xa,passes,passes_pct,progressive_passes,progressive_carries,dribbles_completed,dribbles,Team,matchweek,category
Alassane Pléa,14.0,fr FRA,FW,28-156,63.0,1.0,0.0,34.0,3.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.3,0.1,26.0,80.8,2.0,1.0,0.0,0.0,Mönchengladbach,1.0,Forward
Marcus Thuram,10.0,fr FRA,FW,24-007,27.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.5,0.0,4.0,100.0,2.0,1.0,1.0,1.0,Mönchengladbach,1.0,Forward
Hannes Wolf,11.0,at AUT,LW,22-119,71.0,0.0,0.0,39.0,2.0,0.0,0.0,1.0,1.0,31.0,10.0,1.0,2.0,0.0,0.0,21.0,57.1,0.0,4.0,0.0,1.0,Mönchengladbach,1.0,Forward
Keanan Bennetts,37.0,eng ENG,LW,22-157,19.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,75.0,0.0,3.0,2.0,2.0,Mönchengladbach,1.0,Forward
Patrick Herrmann,7.0,de GER,RW,30-182,63.0,0.0,0.0,35.0,3.0,1.0,0.0,1.0,0.0,13.0,4.0,2.0,0.0,0.1,0.1,26.0,69.2,2.0,5.0,0.0,0.0,Mönchengladbach,1.0,Forward
Jonas Hofmann,23.0,de GER,RW,29-030,27.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0,0.7,12.0,75.0,2.0,2.0,0.0,1.0,Mönchengladbach,1.0,Forward
Lars Stindl,13.0,de GER,AM,32-352,90.0,0.0,1.0,48.0,1.0,1.0,0.0,3.0,1.0,26.0,1.0,0.0,2.0,0.8,0.3,36.0,83.3,5.0,0.0,0.0,0.0,Mönchengladbach,1.0,Midfield
Florian Neuhaus,32.0,de GER,DM,24-150,89.0,0.0,0.0,47.0,0.0,0.0,0.0,1.0,1.0,10.0,3.0,5.0,4.0,0.0,0.0,33.0,81.8,3.0,5.0,0.0,1.0,Mönchengladbach,1.0,Midfield
László Bénes,22.0,sk SVK,DM,23-338,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,Mönchengladbach,1.0,Midfield
Christoph Kramer,6.0,de GER,DM,30-175,90.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,2.0,1.0,0.0,0.0,32.0,59.4,3.0,1.0,1.0,1.0,Mönchengladbach,1.0,Midfield
