player,team,matchweek,date,start11
Alisson,Liverpool,1.0,2019-08-09,True
Fabinho,Liverpool,1.0,2019-08-09,True
Virgil van Dijk,Liverpool,1.0,2019-08-09,True
Georginio Wijnaldum,Liverpool,1.0,2019-08-09,True
Roberto Firmino,Liverpool,1.0,2019-08-09,True
Mohamed Salah,Liverpool,1.0,2019-08-09,True
Joe Gomez,Liverpool,1.0,2019-08-09,True
Jordan Henderson,Liverpool,1.0,2019-08-09,True
Andrew Robertson,Liverpool,1.0,2019-08-09,True
Divock Origi,Liverpool,1.0,2019-08-09,True
Trent Alexander-Arnold,Liverpool,1.0,2019-08-09,True
Adrián,Liverpool,1.0,2019-08-09,False
James Milner,Liverpool,1.0,2019-08-09,False
Naby Keïta,Liverpool,1.0,2019-08-09,False
Sadio Mané,Liverpool,1.0,2019-08-09,False
Alex Oxlade-Chamberlain,Liverpool,1.0,2019-08-09,False
Xherdan Shaqiri,Liverpool,1.0,2019-08-09,False
Joël Matip,Liverpool,1.0,2019-08-09,False
Tim Krul,Norwich City,1.0,2019-08-09,True
Max Aarons,Norwich City,1.0,2019-08-09,True
Ben Godfrey,Norwich City,1.0,2019-08-09,True
Grant Hanley,Norwich City,1.0,2019-08-09,True
Jamal Lewis,Norwich City,1.0,2019-08-09,True
Todd Cantwell,Norwich City,1.0,2019-08-09,True
Emi Buendía,Norwich City,1.0,2019-08-09,True
Marco Stiepermann,Norwich City,1.0,2019-08-09,True
Tom Trybull,Norwich City,1.0,2019-08-09,True
Teemu Pukki,Norwich City,1.0,2019-08-09,True
Kenny McLean,Norwich City,1.0,2019-08-09,True
Ralf Fährmann,Norwich City,1.0,2019-08-09,False
Sam Byram,Norwich City,1.0,2019-08-09,False
Patrick Roberts,Norwich City,1.0,2019-08-09,False
Mario Vrančić,Norwich City,1.0,2019-08-09,False
Moritz Leitner,Norwich City,1.0,2019-08-09,False
Onel Hernández,Norwich City,1.0,2019-08-09,False
Josip Drmić,Norwich City,1.0,2019-08-09,False
Łukasz Fabiański,West Ham United,1.0,2019-08-10,True
Aaron Cresswell,West Ham United,1.0,2019-08-10,True
Fabián Balbuena,West Ham United,1.0,2019-08-10,True
Felipe Anderson,West Ham United,1.0,2019-08-10,True
Manuel Lanzini,West Ham United,1.0,2019-08-10,True
Jack Wilshere,West Ham United,1.0,2019-08-10,True
Sébastien Haller,West Ham United,1.0,2019-08-10,True
Issa Diop,West Ham United,1.0,2019-08-10,True
Ryan Fredericks,West Ham United,1.0,2019-08-10,True
Michail Antonio,West Ham United,1.0,2019-08-10,True
Declan Rice,West Ham United,1.0,2019-08-10,True
Roberto,West Ham United,1.0,2019-08-10,False
Pablo Zabaleta,West Ham United,1.0,2019-08-10,False
Javier Hernández,West Ham United,1.0,2019-08-10,False
Robert Snodgrass,West Ham United,1.0,2019-08-10,False
Carlos Sánchez,West Ham United,1.0,2019-08-10,False
Pablo Fornals,West Ham United,1.0,2019-08-10,False
Angelo Ogbonna,West Ham United,1.0,2019-08-10,False
Ederson,Manchester City,1.0,2019-08-10,True
Kyle Walker,Manchester City,1.0,2019-08-10,True
John Stones,Manchester City,1.0,2019-08-10,True
Raheem Sterling,Manchester City,1.0,2019-08-10,True
Gabriel Jesus,Manchester City,1.0,2019-08-10,True
Oleksandr Zinchenko,Manchester City,1.0,2019-08-10,True
Aymeric Laporte,Manchester City,1.0,2019-08-10,True
Rodri,Manchester City,1.0,2019-08-10,True
Kevin De Bruyne,Manchester City,1.0,2019-08-10,True
David Silva,Manchester City,1.0,2019-08-10,True
Riyad Mahrez,Manchester City,1.0,2019-08-10,True
Claudio Bravo,Manchester City,1.0,2019-08-10,False
İlkay Gündoğan,Manchester City,1.0,2019-08-10,False
Sergio Agüero,Manchester City,1.0,2019-08-10,False
Bernardo Silva,Manchester City,1.0,2019-08-10,False
João Cancelo,Manchester City,1.0,2019-08-10,False
Nicolás Otamendi,Manchester City,1.0,2019-08-10,False
Phil Foden,Manchester City,1.0,2019-08-10,False
Vicente Guaita,Crystal Palace,1.0,2019-08-10,True
Joel Ward,Crystal Palace,1.0,2019-08-10,True
Patrick van Aanholt,Crystal Palace,1.0,2019-08-10,True
Luka Milivojević,Crystal Palace,1.0,2019-08-10,True
Scott Dann,Crystal Palace,1.0,2019-08-10,True
Max Meyer,Crystal Palace,1.0,2019-08-10,True
Jordan Ayew,Crystal Palace,1.0,2019-08-10,True
Andros Townsend,Crystal Palace,1.0,2019-08-10,True
Christian Benteke,Crystal Palace,1.0,2019-08-10,True
James McArthur,Crystal Palace,1.0,2019-08-10,True
Martin Kelly,Crystal Palace,1.0,2019-08-10,True
Wayne Hennessey,Crystal Palace,1.0,2019-08-10,False
Cheikhou Kouyaté,Crystal Palace,1.0,2019-08-10,False
Wilfried Zaha,Crystal Palace,1.0,2019-08-10,False
Connor Wickham,Crystal Palace,1.0,2019-08-10,False
James McCarthy,Crystal Palace,1.0,2019-08-10,False
Víctor Camarasa,Crystal Palace,1.0,2019-08-10,False
Gary Cahill,Crystal Palace,1.0,2019-08-10,False
Jordan Pickford,Everton,1.0,2019-08-10,True
Michael Keane,Everton,1.0,2019-08-10,True
Richarlison,Everton,1.0,2019-08-10,True
Dominic Calvert-Lewin,Everton,1.0,2019-08-10,True
Gylfi Sigurðsson,Everton,1.0,2019-08-10,True
Lucas Digne,Everton,1.0,2019-08-10,True
Yerry Mina,Everton,1.0,2019-08-10,True
Morgan Schneiderlin,Everton,1.0,2019-08-10,True
Bernard,Everton,1.0,2019-08-10,True
André Gomes,Everton,1.0,2019-08-10,True
Séamus Coleman,Everton,1.0,2019-08-10,True
Jonas Lössl,Everton,1.0,2019-08-10,False
Mason Holgate,Everton,1.0,2019-08-10,False
Theo Walcott,Everton,1.0,2019-08-10,False
Cenk Tosun,Everton,1.0,2019-08-10,False
Jean-Philippe Gbamin,Everton,1.0,2019-08-10,False
Tom Davies,Everton,1.0,2019-08-10,False
Moise Kean,Everton,1.0,2019-08-10,False
Aaron Ramsdale,Bournemouth,1.0,2019-08-10,True
Steve Cook,Bournemouth,1.0,2019-08-10,True
Nathan Aké,Bournemouth,1.0,2019-08-10,True
Joshua King,Bournemouth,1.0,2019-08-10,True
Jefferson Lerma,Bournemouth,1.0,2019-08-10,True
Callum Wilson,Bournemouth,1.0,2019-08-10,True
Adam Smith,Bournemouth,1.0,2019-08-10,True
Diego Rico,Bournemouth,1.0,2019-08-10,True
Ryan Fraser,Bournemouth,1.0,2019-08-10,True
Philip Billing,Bournemouth,1.0,2019-08-10,True
Chris Mepham,Bournemouth,1.0,2019-08-10,True
Artur Boruc,Bournemouth,1.0,2019-08-10,False
Andrew Surman,Bournemouth,1.0,2019-08-10,False
Dominic Solanke,Bournemouth,1.0,2019-08-10,False
Jordon Ibe,Bournemouth,1.0,2019-08-10,False
Charlie Daniels,Bournemouth,1.0,2019-08-10,False
Harry Wilson,Bournemouth,1.0,2019-08-10,False
Jack Simpson,Bournemouth,1.0,2019-08-10,False
Dean Henderson,Sheffield United,1.0,2019-08-10,True
George Baldock,Sheffield United,1.0,2019-08-10,True
Enda Stevens,Sheffield United,1.0,2019-08-10,True
John Fleck,Sheffield United,1.0,2019-08-10,True
Jack O'Connell,Sheffield United,1.0,2019-08-10,True
Chris Basham,Sheffield United,1.0,2019-08-10,True
John Lundstram,Sheffield United,1.0,2019-08-10,True
Callum Robinson,Sheffield United,1.0,2019-08-10,True
John Egan,Sheffield United,1.0,2019-08-10,True
Oliver Norwood,Sheffield United,1.0,2019-08-10,True
David McGoldrick,Sheffield United,1.0,2019-08-10,True
Simon Moore,Sheffield United,1.0,2019-08-10,False
Luke Freeman,Sheffield United,1.0,2019-08-10,False
Oliver McBurnie,Sheffield United,1.0,2019-08-10,False
Billy Sharp,Sheffield United,1.0,2019-08-10,False
Phil Jagielka,Sheffield United,1.0,2019-08-10,False
Ben Osborn,Sheffield United,1.0,2019-08-10,False
Muhamed Bešić,Sheffield United,1.0,2019-08-10,False
Nick Pope,Burnley,1.0,2019-08-10,True
Matthew Lowton,Burnley,1.0,2019-08-10,True
Jack Cork,Burnley,1.0,2019-08-10,True
James Tarkowski,Burnley,1.0,2019-08-10,True
Ben Mee,Burnley,1.0,2019-08-10,True
Jóhann Berg Guðmundsson,Burnley,1.0,2019-08-10,True
Chris Wood,Burnley,1.0,2019-08-10,True
Ashley Barnes,Burnley,1.0,2019-08-10,True
Dwight McNeil,Burnley,1.0,2019-08-10,True
Ashley Westwood,Burnley,1.0,2019-08-10,True
Erik Pieters,Burnley,1.0,2019-08-10,True
Joe Hart,Burnley,1.0,2019-08-10,False
Jeff Hendrick,Burnley,1.0,2019-08-10,False
Ben Gibson,Burnley,1.0,2019-08-10,False
Jay Rodriguez,Burnley,1.0,2019-08-10,False
Aaron Lennon,Burnley,1.0,2019-08-10,False
Phil Bardsley,Burnley,1.0,2019-08-10,False
Kevin Long,Burnley,1.0,2019-08-10,False
Angus Gunn,Southampton,1.0,2019-08-10,True
Jannik Vestergaard,Southampton,1.0,2019-08-10,True
Jack Stephens,Southampton,1.0,2019-08-10,True
Danny Ings,Southampton,1.0,2019-08-10,True
Che Adams,Southampton,1.0,2019-08-10,True
Oriol Romeu,Southampton,1.0,2019-08-10,True
James Ward-Prowse,Southampton,1.0,2019-08-10,True
Ryan Bertrand,Southampton,1.0,2019-08-10,True
Nathan Redmond,Southampton,1.0,2019-08-10,True
Jan Bednarek,Southampton,1.0,2019-08-10,True
Yan Valery,Southampton,1.0,2019-08-10,True
Alex McCarthy,Southampton,1.0,2019-08-10,False
Cédric Soares,Southampton,1.0,2019-08-10,False
Maya Yoshida,Southampton,1.0,2019-08-10,False
Moussa Djenepo,Southampton,1.0,2019-08-10,False
Sofiane Boufal,Southampton,1.0,2019-08-10,False
Michael Obafemi,Southampton,1.0,2019-08-10,False
Pierre Højbjerg,Southampton,1.0,2019-08-10,False
Ben Foster,Watford,1.0,2019-08-10,True
Craig Dawson,Watford,1.0,2019-08-10,True
Gerard Deulofeu,Watford,1.0,2019-08-10,True
Troy Deeney,Watford,1.0,2019-08-10,True
Craig Cathcart,Watford,1.0,2019-08-10,True
Abdoulaye Doucouré,Watford,1.0,2019-08-10,True
Andre Gray,Watford,1.0,2019-08-10,True
Will Hughes,Watford,1.0,2019-08-10,True
Kiko Femenía,Watford,1.0,2019-08-10,True
José Holebas,Watford,1.0,2019-08-10,True
Étienne Capoue,Watford,1.0,2019-08-10,True
Heurelho Gomes,Watford,1.0,2019-08-10,False
Daryl Janmaat,Watford,1.0,2019-08-10,False
Tom Cleverley,Watford,1.0,2019-08-10,False
Ken Sema,Watford,1.0,2019-08-10,False
Isaac Success,Watford,1.0,2019-08-10,False
Christian Kabasele,Watford,1.0,2019-08-10,False
Roberto Pereyra,Watford,1.0,2019-08-10,False
Mathew Ryan,Brighton & Hove Albion,1.0,2019-08-10,True
Shane Duffy,Brighton & Hove Albion,1.0,2019-08-10,True
Lewis Dunk,Brighton & Hove Albion,1.0,2019-08-10,True
Dale Stephens,Brighton & Hove Albion,1.0,2019-08-10,True
Jürgen Locadia,Brighton & Hove Albion,1.0,2019-08-10,True
Pascal Groß,Brighton & Hove Albion,1.0,2019-08-10,True
Glenn Murray,Brighton & Hove Albion,1.0,2019-08-10,True
Solly March,Brighton & Hove Albion,1.0,2019-08-10,True
Martín Montoya,Brighton & Hove Albion,1.0,2019-08-10,True
Davy Pröpper,Brighton & Hove Albion,1.0,2019-08-10,True
Dan Burn,Brighton & Hove Albion,1.0,2019-08-10,True
David Button,Brighton & Hove Albion,1.0,2019-08-10,False
Neal Maupay,Brighton & Hove Albion,1.0,2019-08-10,False
Florin Andone,Brighton & Hove Albion,1.0,2019-08-10,False
Leandro Trossard,Brighton & Hove Albion,1.0,2019-08-10,False
Adam Webster,Brighton & Hove Albion,1.0,2019-08-10,False
Aaron Mooy,Brighton & Hove Albion,1.0,2019-08-10,False
Bernardo,Brighton & Hove Albion,1.0,2019-08-10,False
Hugo Lloris,Tottenham Hotspur,1.0,2019-08-10,True
Danny Rose,Tottenham Hotspur,1.0,2019-08-10,True
Toby Alderweireld,Tottenham Hotspur,1.0,2019-08-10,True
Davinson Sánchez,Tottenham Hotspur,1.0,2019-08-10,True
Harry Winks,Tottenham Hotspur,1.0,2019-08-10,True
Harry Kane,Tottenham Hotspur,1.0,2019-08-10,True
Érik Lamela,Tottenham Hotspur,1.0,2019-08-10,True
Kyle Walker-Peters,Tottenham Hotspur,1.0,2019-08-10,True
Moussa Sissoko,Tottenham Hotspur,1.0,2019-08-10,True
Lucas Moura,Tottenham Hotspur,1.0,2019-08-10,True
Tanguy Ndombele,Tottenham Hotspur,1.0,2019-08-10,True
Paulo Gazzaniga,Tottenham Hotspur,1.0,2019-08-10,False
Victor Wanyama,Tottenham Hotspur,1.0,2019-08-10,False
Georges-Kévin N'Koudou,Tottenham Hotspur,1.0,2019-08-10,False
Eric Dier,Tottenham Hotspur,1.0,2019-08-10,False
Christian Eriksen,Tottenham Hotspur,1.0,2019-08-10,False
Serge Aurier,Tottenham Hotspur,1.0,2019-08-10,False
Oliver Skipp,Tottenham Hotspur,1.0,2019-08-10,False
Tom Heaton,Aston Villa,1.0,2019-08-10,True
Neil Taylor,Aston Villa,1.0,2019-08-10,True
John McGinn,Aston Villa,1.0,2019-08-10,True
Wesley Moraes,Aston Villa,1.0,2019-08-10,True
Jack Grealish,Aston Villa,1.0,2019-08-10,True
Conor Hourihane,Aston Villa,1.0,2019-08-10,True
Trézéguet,Aston Villa,1.0,2019-08-10,True
Anwar El Ghazi,Aston Villa,1.0,2019-08-10,True
Björn Engels,Aston Villa,1.0,2019-08-10,True
Ahmed Elmohamady,Aston Villa,1.0,2019-08-10,True
Tyrone Mings,Aston Villa,1.0,2019-08-10,True
Jed Steer,Aston Villa,1.0,2019-08-10,False
Douglas Luiz,Aston Villa,1.0,2019-08-10,False
Henri Lansbury,Aston Villa,1.0,2019-08-10,False
Ezri Konsa,Aston Villa,1.0,2019-08-10,False
Matt Targett,Aston Villa,1.0,2019-08-10,False
Jota,Aston Villa,1.0,2019-08-10,False
Jonathan Kodjia,Aston Villa,1.0,2019-08-10,False
Kasper Schmeichel,Leicester City,1.0,2019-08-11,True
Ben Chilwell,Leicester City,1.0,2019-08-11,True
Çağlar Söyüncü,Leicester City,1.0,2019-08-11,True
Jonny Evans,Leicester City,1.0,2019-08-11,True
Youri Tielemans,Leicester City,1.0,2019-08-11,True
Jamie Vardy,Leicester City,1.0,2019-08-11,True
James Maddison,Leicester City,1.0,2019-08-11,True
Ayoze Pérez,Leicester City,1.0,2019-08-11,True
Hamza Choudhury,Leicester City,1.0,2019-08-11,True
Ricardo Pereira,Leicester City,1.0,2019-08-11,True
Wilfred Ndidi,Leicester City,1.0,2019-08-11,True
Danny Ward,Leicester City,1.0,2019-08-11,False
James Justin,Leicester City,1.0,2019-08-11,False
Wes Morgan,Leicester City,1.0,2019-08-11,False
Marc Albrighton,Leicester City,1.0,2019-08-11,False
Kelechi Iheanacho,Leicester City,1.0,2019-08-11,False
Harvey Barnes,Leicester City,1.0,2019-08-11,False
Dennis Praet,Leicester City,1.0,2019-08-11,False
Rui Patrício,Wolverhampton Wanderers,1.0,2019-08-11,True
Matt Doherty,Wolverhampton Wanderers,1.0,2019-08-11,True
Ryan Bennett,Wolverhampton Wanderers,1.0,2019-08-11,True
Rúben Neves,Wolverhampton Wanderers,1.0,2019-08-11,True
Raúl Jiménez,Wolverhampton Wanderers,1.0,2019-08-11,True
Willy Boly,Wolverhampton Wanderers,1.0,2019-08-11,True
Conor Coady,Wolverhampton Wanderers,1.0,2019-08-11,True
Diogo Jota,Wolverhampton Wanderers,1.0,2019-08-11,True
Jonny Castro,Wolverhampton Wanderers,1.0,2019-08-11,True
João Moutinho,Wolverhampton Wanderers,1.0,2019-08-11,True
Leander Dendoncker,Wolverhampton Wanderers,1.0,2019-08-11,True
John Ruddy,Wolverhampton Wanderers,1.0,2019-08-11,False
Pedro Neto,Wolverhampton Wanderers,1.0,2019-08-11,False
Patrick Cutrone,Wolverhampton Wanderers,1.0,2019-08-11,False
Morgan Gibbs-White,Wolverhampton Wanderers,1.0,2019-08-11,False
Romain Saïss,Wolverhampton Wanderers,1.0,2019-08-11,False
