,H,D,A
0,0.02,0.95,0.03
1,0.71,0.28,0.01
2,0.87,0.12,0.01
3,0.61,0.37,0.02
4,0.03,0.93,0.04
5,0.47,0.47,0.06
6,0.0,0.99,0.01
7,0.02,0.97,0.01
8,0.81,0.19,0.0
9,0.63,0.35,0.02
10,0.25,0.72,0.03
11,0.67,0.3,0.03
12,0.07,0.93,0.0
13,0.29,0.68,0.03
14,0.03,0.96,0.01
15,0.52,0.44,0.04
16,0.65,0.35,0.0
17,0.08,0.9,0.02
18,0.14,0.8,0.06
19,0.13,0.84,0.03
20,0.05,0.28,0.67
21,0.18,0.78,0.04
22,0.4,0.37,0.23
23,0.16,0.22,0.62
24,0.17,0.77,0.06
25,0.12,0.57,0.31
26,0.16,0.76,0.08
27,0.76,0.17,0.07
28,0.69,0.14,0.17
29,0.75,0.07,0.18
30,0.18,0.59,0.23
31,0.37,0.45,0.18
32,0.24,0.67,0.09
33,0.51,0.35,0.14
34,0.72,0.1,0.18
35,0.84,0.07,0.09
36,0.12,0.8,0.08
37,0.69,0.21,0.1
38,0.11,0.28,0.61
39,0.61,0.18,0.21
40,0.74,0.15,0.11
41,0.09,0.8,0.11
42,0.49,0.33,0.18
43,0.16,0.12,0.72
44,0.12,0.12,0.76
45,0.64,0.26,0.1
46,0.39,0.48,0.13
47,0.06,0.8,0.14
48,0.14,0.77,0.09
49,0.1,0.19,0.71
50,0.08,0.85,0.07
51,0.14,0.19,0.67
52,0.83,0.09,0.08
53,0.8,0.1,0.1
54,0.14,0.06,0.8
55,0.39,0.43,0.18
56,0.5,0.18,0.32
57,0.07,0.75,0.18
58,0.77,0.08,0.15
59,0.08,0.84,0.08
60,0.12,0.8,0.08
61,0.91,0.08,0.01
62,0.17,0.73,0.1
63,0.44,0.3,0.26
64,0.14,0.73,0.13
65,0.84,0.1,0.06
66,0.8,0.06,0.14
67,0.06,0.87,0.07
68,0.16,0.04,0.8
69,0.75,0.1,0.15
70,0.13,0.82,0.05
71,0.7,0.2,0.1
72,0.73,0.09,0.18
73,0.62,0.2,0.18
74,0.06,0.8,0.14
75,0.83,0.1,0.07
76,0.35,0.5,0.15
77,0.22,0.71,0.07
78,0.34,0.44,0.22
79,0.16,0.77,0.07
80,0.81,0.18,0.01
81,0.84,0.11,0.05
82,0.26,0.48,0.26
83,0.06,0.89,0.05
84,0.41,0.35,0.24
85,0.81,0.08,0.11
86,0.8,0.15,0.05
87,0.09,0.09,0.82
88,0.24,0.64,0.12
89,0.11,0.21,0.68
90,0.74,0.11,0.15
91,0.24,0.72,0.04
92,0.81,0.06,0.13
93,0.05,0.89,0.06
94,0.36,0.34,0.3
95,0.11,0.82,0.07
96,0.27,0.68,0.05
97,0.77,0.2,0.03
98,0.11,0.26,0.63
99,0.81,0.1,0.09
100,0.08,0.82,0.1
101,0.71,0.23,0.06
102,0.09,0.81,0.1
103,0.12,0.79,0.09
104,0.69,0.21,0.1
105,0.83,0.14,0.03
106,0.15,0.74,0.11
107,0.09,0.81,0.1
108,0.34,0.36,0.3
109,0.81,0.1,0.09
110,0.44,0.39,0.17
111,0.66,0.14,0.2
112,0.83,0.13,0.04
113,0.05,0.27,0.68
114,0.07,0.16,0.77
115,0.15,0.69,0.16
116,0.62,0.14,0.24
117,0.74,0.13,0.13
118,0.64,0.22,0.14
119,0.08,0.25,0.67
120,0.84,0.08,0.08
121,0.19,0.75,0.06
122,0.17,0.14,0.69
123,0.8,0.08,0.12
124,0.11,0.17,0.72
125,0.2,0.09,0.71
126,0.17,0.61,0.22
127,0.08,0.7,0.22
128,0.13,0.8,0.07
129,0.87,0.05,0.08
130,0.15,0.02,0.83
131,0.25,0.03,0.72
132,0.11,0.79,0.1
133,0.9,0.09,0.01
134,0.09,0.85,0.06
135,0.74,0.14,0.12
136,0.83,0.12,0.05
137,0.12,0.09,0.79
138,0.74,0.15,0.11
139,0.11,0.13,0.76
140,0.74,0.13,0.13
141,0.65,0.19,0.16
142,0.09,0.81,0.1
143,0.82,0.1,0.08
144,0.16,0.1,0.74
145,0.25,0.04,0.71
146,0.13,0.13,0.74
147,0.07,0.14,0.79
148,0.45,0.43,0.12
149,0.08,0.82,0.1
150,0.78,0.06,0.16
151,0.11,0.21,0.68
152,0.12,0.78,0.1
153,0.84,0.13,0.03
154,0.02,0.27,0.71
155,0.26,0.69,0.05
156,0.82,0.15,0.03
157,0.4,0.45,0.15
158,0.81,0.06,0.13
159,0.1,0.15,0.75
160,0.06,0.8,0.14
161,0.1,0.78,0.12
162,0.09,0.8,0.11
163,0.68,0.17,0.15
164,0.76,0.17,0.07
165,0.05,0.82,0.13
166,0.12,0.81,0.07
167,0.89,0.11,0.0
168,0.38,0.29,0.33
169,0.18,0.22,0.6
170,0.25,0.7,0.05
171,0.22,0.68,0.1
172,0.75,0.11,0.14
173,0.16,0.57,0.27
174,0.83,0.09,0.08
175,0.06,0.9,0.04
176,0.25,0.11,0.64
177,0.94,0.04,0.02
178,0.84,0.05,0.11
179,0.86,0.11,0.03
180,0.75,0.16,0.09
181,0.8,0.17,0.03
182,0.05,0.87,0.08
183,0.29,0.67,0.04
184,0.8,0.05,0.15
185,0.13,0.76,0.11
186,0.19,0.7,0.11
187,0.11,0.76,0.13
188,0.06,0.8,0.14
189,0.78,0.17,0.05
190,0.2,0.1,0.7
191,0.14,0.09,0.77
192,0.14,0.14,0.72
193,0.32,0.64,0.04
194,0.23,0.59,0.18
195,0.16,0.79,0.05
196,0.75,0.15,0.1
197,0.79,0.14,0.07
198,0.19,0.08,0.73
199,0.07,0.18,0.75
200,0.12,0.81,0.07
201,0.84,0.1,0.06
202,0.12,0.85,0.03
203,0.09,0.84,0.07
204,0.69,0.14,0.17
205,0.72,0.13,0.15
206,0.73,0.09,0.18
207,0.86,0.08,0.06
208,0.35,0.48,0.17
209,0.07,0.83,0.1
210,0.21,0.52,0.27
211,0.12,0.78,0.1
212,0.08,0.86,0.06
213,0.11,0.82,0.07
214,0.15,0.8,0.05
215,0.75,0.2,0.05
216,0.17,0.11,0.72
217,0.71,0.19,0.1
218,0.04,0.26,0.7
219,0.22,0.08,0.7
220,0.91,0.05,0.04
221,0.15,0.09,0.76
222,0.06,0.82,0.12
223,0.05,0.83,0.12
224,0.86,0.11,0.03
225,0.72,0.2,0.08
226,0.14,0.71,0.15
227,0.55,0.34,0.11
228,0.15,0.15,0.7
229,0.4,0.41,0.19
230,0.03,0.24,0.73
231,0.83,0.09,0.08
232,0.63,0.18,0.19
233,0.93,0.05,0.02
234,0.65,0.2,0.15
235,0.13,0.03,0.84
236,0.04,0.94,0.02
237,0.77,0.17,0.06
238,0.05,0.74,0.21
239,0.66,0.1,0.24
240,0.25,0.7,0.05
241,0.77,0.11,0.12
242,0.28,0.56,0.16
243,0.11,0.81,0.08
244,0.14,0.69,0.17
245,0.92,0.05,0.03
246,0.34,0.41,0.25
247,0.84,0.13,0.03
248,0.84,0.15,0.01
249,0.64,0.16,0.2
250,0.38,0.5,0.12
251,0.06,0.1,0.84
252,0.15,0.15,0.7
253,0.13,0.79,0.08
254,0.82,0.13,0.05
255,0.15,0.17,0.68
256,0.09,0.79,0.12
257,0.85,0.08,0.07
258,0.71,0.22,0.07
259,0.08,0.2,0.72
260,0.75,0.15,0.1
261,0.16,0.49,0.35
262,0.26,0.29,0.45
263,0.05,0.81,0.14
264,0.16,0.78,0.06
265,0.15,0.55,0.3
266,0.53,0.17,0.3
267,0.1,0.17,0.73
268,0.05,0.74,0.21
269,0.13,0.18,0.69
270,0.27,0.69,0.04
271,0.11,0.87,0.02
272,0.76,0.16,0.08
273,0.65,0.23,0.12
274,0.8,0.17,0.03
275,0.83,0.13,0.04
276,0.27,0.11,0.62
277,0.07,0.12,0.81
278,0.86,0.07,0.07
279,0.25,0.66,0.09
280,0.21,0.55,0.24
281,0.1,0.77,0.13
282,0.86,0.07,0.07
283,0.68,0.19,0.13
284,0.79,0.14,0.07
285,0.36,0.36,0.28
286,0.2,0.72,0.08
287,0.77,0.12,0.11
288,0.2,0.07,0.73
289,0.14,0.77,0.09
290,0.33,0.64,0.03
291,0.9,0.04,0.06
292,0.18,0.62,0.2
293,0.14,0.8,0.06
294,0.8,0.1,0.1
295,0.07,0.16,0.77
296,0.76,0.13,0.11
297,0.81,0.14,0.05
298,0.13,0.09,0.78
299,0.11,0.73,0.16
300,0.12,0.82,0.06
301,0.24,0.66,0.1
302,0.86,0.08,0.06
303,0.1,0.79,0.11
304,0.11,0.77,0.12
305,0.65,0.26,0.09
306,0.12,0.83,0.05
307,0.14,0.67,0.19
308,0.72,0.16,0.12
309,0.13,0.1,0.77
310,0.07,0.17,0.76
311,0.15,0.41,0.44
312,0.5,0.35,0.15
313,0.27,0.04,0.69
314,0.9,0.08,0.02
315,0.12,0.16,0.72
