,home_team,away_team,H,D,A,game_id
0,Chelsea,Crystal Palace,0.9390000000000001,0.040999999999999995,0.02,ChelseaCrystal Palace
1,Everton,Brighton,0.955,0.045,0.0,EvertonBrighton
2,Leeds,Man City,0.063,0.13699999999999998,0.8,LeedsMan City
3,Newcastle,Burnley,0.84,0.121,0.039,NewcastleBurnley
4,Leicester,West Ham,0.971,0.024,0.005,LeicesterWest Ham
5,Southampton,West Brom,0.657,0.266,0.077,SouthamptonWest Brom
6,Arsenal,Sheffield United,0.971,0.024,0.005,ArsenalSheffield United
7,Wolves,Fulham,0.846,0.106,0.048,WolvesFulham
8,Man United,Tottenham,0.385,0.43799999999999994,0.17800000000000002,Man UnitedTottenham
9,Aston Villa,Liverpool,0.013999999999999999,0.019,0.966,Aston VillaLiverpool
0,Everton,Liverpool,0.16899999999999998,0.259,0.5720000000000001,EvertonLiverpool
1,Chelsea,Southampton,0.976,0.015,0.01,ChelseaSouthampton
2,Man City,Arsenal,0.6920000000000001,0.168,0.139,Man CityArsenal
3,Newcastle,Man United,0.14300000000000002,0.16699999999999998,0.69,NewcastleMan United
4,Sheffield United,Fulham,0.5589999999999999,0.318,0.12300000000000001,Sheffield UnitedFulham
5,Crystal Palace,Brighton,0.716,0.19899999999999998,0.085,Crystal PalaceBrighton
6,Tottenham,West Ham,0.934,0.043,0.024,TottenhamWest Ham
7,Leicester,Aston Villa,0.735,0.18,0.085,LeicesterAston Villa
8,West Brom,Burnley,0.446,0.418,0.136,West BromBurnley
9,Leeds,Wolves,0.584,0.285,0.131,LeedsWolves
0,Aston Villa,Leeds,0.637,0.242,0.121,Aston VillaLeeds
1,West Ham,Man City,0.040999999999999995,0.066,0.893,West HamMan City
2,Fulham,Crystal Palace,0.155,0.31,0.535,FulhamCrystal Palace
3,Man United,Chelsea,0.27699999999999997,0.342,0.381,Man UnitedChelsea
4,Liverpool,Sheffield United,0.99,0.0,0.01,LiverpoolSheffield United
5,Southampton,Everton,0.044000000000000004,0.175,0.782,SouthamptonEverton
6,Wolves,Newcastle,0.8009999999999999,0.136,0.063,WolvesNewcastle
7,Arsenal,Leicester,0.512,0.314,0.174,ArsenalLeicester
8,Brighton,West Brom,0.591,0.308,0.10099999999999999,BrightonWest Brom
9,Burnley,Tottenham,0.013999999999999999,0.028999999999999998,0.9570000000000001,BurnleyTottenham
