player,shirtnumber,nationality,position,age,minutes,goals,assists,touches,sca,gca,pens_made,shots_total,shots_on_target,pressures,tackles,interceptions,blocks,xg,xa,passes,passes_pct,progressive_passes,progressive_carries,dribbles_completed,dribbles,matchweek
Ivan Toney,17.0,eng ENG,FW,25-150,90.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,0.1,21.0,47.6,3.0,0.0,1.0,2.0, (Matchweek 1)
Bryan Mbeumo,19.0,fr FRA,FW,22-006,85.0,0.0,0.0,34.0,3.0,0.0,0.0,2.0,0.0,24.0,1.0,0.0,1.0,0.3,0.1,23.0,65.2,1.0,1.0,2.0,3.0, (Matchweek 1)
Marcus Forss,9.0,fi FIN,FW,22-056,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,66.7,0.0,1.0,1.0,2.0, (Matchweek 1)
Vitaly Janelt,27.0,de GER,CM,23-095,90.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,21.0,4.0,1.0,1.0,0.0,0.0,29.0,75.9,4.0,2.0,0.0,0.0, (Matchweek 1)
Frank Onyeka,15.0,ng NGA,CM,23-224,79.0,0.0,0.0,22.0,2.0,0.0,0.0,1.0,0.0,20.0,1.0,1.0,1.0,0.1,0.1,14.0,92.9,3.0,0.0,1.0,1.0, (Matchweek 1)
Mads Bidstrup,28.0,dk DEN,CM,20-169,11.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0, (Matchweek 1)
Christian Nørgaard,6.0,dk DEN,DM,27-156,90.0,1.0,0.0,43.0,0.0,0.0,0.0,2.0,1.0,16.0,2.0,4.0,0.0,0.7,0.0,36.0,66.7,4.0,2.0,1.0,1.0, (Matchweek 1)
Rico Henry,3.0,eng ENG,WB,24-036,90.0,0.0,0.0,33.0,2.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,2.0,0.0,0.0,24.0,83.3,3.0,2.0,0.0,1.0, (Matchweek 1)
Sergi Canós,7.0,es ESP,WB,24-192,90.0,1.0,0.0,37.0,2.0,0.0,0.0,3.0,2.0,25.0,6.0,1.0,2.0,0.2,0.2,22.0,59.1,1.0,4.0,0.0,0.0, (Matchweek 1)
Ethan Pinnock,5.0,jm JAM,CB,28-076,90.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,2.0,0.0,0.0,38.0,68.4,3.0,0.0,0.0,0.0, (Matchweek 1)
Pontus Jansson,18.0,se SWE,CB,30-181,90.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,19.0,89.5,0.0,0.0,0.0,0.0, (Matchweek 1)
Kristoffer Ajer,20.0,no NOR,CB,23-118,70.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.3,31.0,58.1,1.0,3.0,1.0,1.0, (Matchweek 1)
Mads Bech Sørensen,29.0,dk DEN,CB,22-218,20.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0, (Matchweek 1)
David Raya,1.0,es ESP,GK,25-332,90.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,47.1,0.0,0.0,0.0,0.0, (Matchweek 1)
Folarin Balogun,26.0,eng ENG,FW,20-041,58.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.3,0.0,5.0,60.0,0.0,1.0,0.0,1.0, (Matchweek 1)
Bukayo Saka,7.0,eng ENG,FW,19-342,32.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,23.0,78.3,2.0,7.0,2.0,2.0, (Matchweek 1)
Martinelli,35.0,br BRA,LW,20-056,70.0,0.0,0.0,22.0,2.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,3.0,0.1,0.1,14.0,71.4,0.0,1.0,0.0,1.0, (Matchweek 1)
Reiss Nelson,24.0,eng ENG,"RW,LW",21-246,20.0,0.0,0.0,16.0,3.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,11.0,90.9,1.0,0.0,0.0,0.0, (Matchweek 1)
Nicolas Pépé,19.0,ci CIV,"RW,LW",26-076,90.0,0.0,0.0,57.0,5.0,0.0,0.0,4.0,1.0,11.0,2.0,0.0,1.0,0.3,0.1,43.0,81.4,0.0,7.0,2.0,3.0, (Matchweek 1)
Emile Smith Rowe,10.0,eng ENG,AM,21-016,90.0,0.0,0.0,59.0,5.0,0.0,0.0,2.0,1.0,11.0,0.0,1.0,0.0,0.1,0.4,50.0,96.0,12.0,11.0,2.0,3.0, (Matchweek 1)
Granit Xhaka,34.0,ch SUI,DM,28-320,90.0,0.0,0.0,94.0,6.0,0.0,0.0,2.0,0.0,14.0,2.0,4.0,2.0,0.1,0.1,84.0,92.9,13.0,10.0,1.0,1.0, (Matchweek 1)
Albert Sambi Lokonga,23.0,be BEL,DM,21-295,90.0,0.0,0.0,82.0,4.0,0.0,0.0,2.0,1.0,7.0,1.0,5.0,0.0,0.0,0.0,71.0,88.7,6.0,16.0,0.0,0.0, (Matchweek 1)
Kieran Tierney,3.0,sct SCO,LB,24-069,90.0,0.0,0.0,83.0,11.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,0.1,0.6,72.0,80.6,4.0,8.0,1.0,6.0, (Matchweek 1)
Pablo Marí,22.0,es ESP,CB,27-347,90.0,0.0,0.0,70.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,1.0,0.3,0.0,56.0,89.3,5.0,3.0,1.0,1.0, (Matchweek 1)
Ben White,4.0,eng ENG,CB,23-309,90.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,61.0,91.8,4.0,0.0,0.0,0.0, (Matchweek 1)
Calum Chambers,21.0,eng ENG,RB,26-205,80.0,0.0,0.0,83.0,1.0,0.0,0.0,2.0,0.0,10.0,1.0,1.0,3.0,0.1,0.1,72.0,86.1,4.0,4.0,0.0,0.0, (Matchweek 1)
Nuno Tavares,20.0,pt POR,RB,21-199,10.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,100.0,0.0,2.0,1.0,2.0, (Matchweek 1)
Bernd Leno,1.0,de GER,GK,29-162,90.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,82.4,0.0,0.0,0.0,0.0, (Matchweek 1)
Mason Greenwood,11.0,eng ENG,"FW,RW",19-317,90.0,1.0,0.0,42.0,5.0,1.0,0.0,3.0,2.0,16.0,2.0,1.0,1.0,0.1,0.2,27.0,77.8,3.0,6.0,4.0,5.0, (Matchweek 1)
Paul Pogba,6.0,fr FRA,LW,28-152,74.0,0.0,4.0,48.0,5.0,4.0,0.0,2.0,1.0,26.0,1.0,2.0,2.0,0.2,0.7,35.0,71.4,5.0,5.0,4.0,6.0, (Matchweek 1)
Anthony Martial,9.0,fr FRA,FW,25-252,16.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,71.4,0.0,2.0,2.0,2.0, (Matchweek 1)
Daniel James,21.0,wls WAL,RW,23-277,74.0,0.0,0.0,34.0,2.0,0.0,0.0,3.0,1.0,19.0,3.0,0.0,2.0,0.2,0.0,18.0,83.3,0.0,5.0,0.0,3.0, (Matchweek 1)
Jadon Sancho,25.0,eng ENG,LW,21-142,16.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,69.2,0.0,1.0,1.0,2.0, (Matchweek 1)
