,home_team,away_team,H,D,A,game_id
0,Crystal Palace,Tottenham,0.022000000000000002,0.038,0.941,Crystal PalaceTottenham
1,Arsenal,Norwich City,0.792,0.115,0.094,ArsenalNorwich City
2,Brentford,Brighton,0.479,0.365,0.156,BrentfordBrighton
3,Leicester City,Manchester City,0.094,0.125,0.7809999999999999,Leicester CityManchester City
4,Manchester Utd,Newcastle Utd,0.99,0.005,0.005,Manchester UtdNewcastle Utd
5,Southampton,West Ham,0.13,0.22899999999999998,0.6409999999999999,SouthamptonWest Ham
6,Watford,Wolves,0.38,0.37,0.25,WatfordWolves
7,Chelsea,Aston Villa,0.9690000000000001,0.015,0.015,ChelseaAston Villa
8,Leeds United,Liverpool,0.015,0.071,0.914,Leeds UnitedLiverpool
9,Everton,Burnley,0.945,0.05,0.005,EvertonBurnley
0,Newcastle Utd,Leeds United,0.201,0.44299999999999995,0.35600000000000004,Newcastle UtdLeeds United
1,Wolves,Brentford,0.773,0.153,0.07400000000000001,WolvesBrentford
2,Burnley,Arsenal,0.051,0.19699999999999998,0.753,BurnleyArsenal
3,Liverpool,Crystal Palace,0.955,0.027999999999999997,0.017,LiverpoolCrystal Palace
4,Manchester City,Southampton,0.972,0.011000000000000001,0.017,Manchester CitySouthampton
5,Norwich City,Watford,0.27399999999999997,0.408,0.318,Norwich CityWatford
6,Aston Villa,Everton,0.12300000000000001,0.285,0.5920000000000001,Aston VillaEverton
7,Brighton,Leicester City,0.132,0.18100000000000002,0.687,BrightonLeicester City
8,West Ham,Manchester Utd,0.038,0.198,0.764,West HamManchester Utd
9,Tottenham,Chelsea,0.08199999999999999,0.308,0.61,TottenhamChelsea
0,Chelsea,Manchester City,0.5429999999999999,0.341,0.11599999999999999,ChelseaManchester City
1,Manchester Utd,Aston Villa,0.977,0.017,0.006,Manchester UtdAston Villa
2,Everton,Norwich City,0.948,0.028999999999999998,0.023,EvertonNorwich City
3,Leeds United,West Ham,0.087,0.324,0.59,Leeds UnitedWest Ham
4,Leicester City,Burnley,0.965,0.035,0.0,Leicester CityBurnley
5,Watford,Newcastle Utd,0.6509999999999999,0.221,0.128,WatfordNewcastle Utd
6,Brentford,Liverpool,0.023,0.012,0.965,BrentfordLiverpool
7,Southampton,Wolves,0.5660000000000001,0.326,0.109,SouthamptonWolves
8,Arsenal,Tottenham,0.159,0.318,0.523,ArsenalTottenham
9,Crystal Palace,Brighton,0.331,0.19699999999999998,0.47200000000000003,Crystal PalaceBrighton
0,Manchester Utd,Everton,0.941,0.047,0.012,Manchester UtdEverton
1,Burnley,Norwich City,0.5870000000000001,0.285,0.128,BurnleyNorwich City
2,Chelsea,Southampton,0.965,0.023,0.012,ChelseaSouthampton
3,Leeds United,Watford,0.483,0.32,0.198,Leeds UnitedWatford
4,Wolves,Newcastle Utd,0.6920000000000001,0.244,0.064,WolvesNewcastle Utd
5,Brighton,Arsenal,0.244,0.262,0.494,BrightonArsenal
6,Crystal Palace,Leicester City,0.087,0.18600000000000003,0.727,Crystal PalaceLeicester City
7,Tottenham,Aston Villa,0.7090000000000001,0.18,0.11,TottenhamAston Villa
8,West Ham,Brentford,0.831,0.145,0.023,West HamBrentford
9,Liverpool,Manchester City,0.37799999999999995,0.488,0.134,LiverpoolManchester City
0,Watford,Liverpool,0.017,0.011000000000000001,0.972,WatfordLiverpool
1,Aston Villa,Wolves,0.654,0.308,0.038,Aston VillaWolves
2,Leicester City,Manchester Utd,0.08199999999999999,0.225,0.6920000000000001,Leicester CityManchester Utd
3,Manchester City,Burnley,0.9890000000000001,0.0,0.011000000000000001,Manchester CityBurnley
4,Norwich City,Brighton,0.10400000000000001,0.14800000000000002,0.747,Norwich CityBrighton
5,Southampton,Leeds United,0.392,0.45299999999999996,0.155,SouthamptonLeeds United
6,Brentford,Chelsea,0.044000000000000004,0.08800000000000001,0.868,BrentfordChelsea
7,Everton,West Ham,0.6679999999999999,0.255,0.076,EvertonWest Ham
8,Newcastle Utd,Tottenham,0.054000000000000006,0.114,0.8320000000000001,Newcastle UtdTottenham
9,Arsenal,Crystal Palace,0.816,0.121,0.063,ArsenalCrystal Palace
0,Arsenal,Aston Villa,0.75,0.146,0.10400000000000001,ArsenalAston Villa
1,Chelsea,Norwich City,0.988,0.006,0.006,ChelseaNorwich City
2,Crystal Palace,Newcastle Utd,0.6990000000000001,0.235,0.066,Crystal PalaceNewcastle Utd
3,Everton,Watford,0.898,0.054000000000000006,0.048,EvertonWatford
4,Leeds United,Wolves,0.313,0.295,0.392,Leeds UnitedWolves
5,Southampton,Burnley,0.825,0.145,0.03,SouthamptonBurnley
6,Brighton,Manchester City,0.018000000000000002,0.048,0.934,BrightonManchester City
7,Brentford,Leicester City,0.201,0.34299999999999997,0.456,BrentfordLeicester City
8,West Ham,Tottenham,0.256,0.44,0.304,West HamTottenham
9,Manchester Utd,Liverpool,0.124,0.266,0.609,Manchester UtdLiverpool
0,Leicester City,Arsenal,0.679,0.214,0.107,Leicester CityArsenal
1,Burnley,Brentford,0.113,0.22,0.667,BurnleyBrentford
2,Liverpool,Brighton,0.976,0.006,0.018000000000000002,LiverpoolBrighton
3,Manchester City,Crystal Palace,0.982,0.006,0.012,Manchester CityCrystal Palace
4,Newcastle Utd,Chelsea,0.012,0.03,0.958,Newcastle UtdChelsea
5,Watford,Southampton,0.41700000000000004,0.45799999999999996,0.125,WatfordSouthampton
6,Tottenham,Manchester Utd,0.284,0.355,0.361,TottenhamManchester Utd
7,Norwich City,Leeds United,0.106,0.188,0.706,Norwich CityLeeds United
8,Aston Villa,West Ham,0.08800000000000001,0.247,0.665,Aston VillaWest Ham
9,Wolves,Everton,0.24100000000000002,0.424,0.335,WolvesEverton
0,Southampton,Aston Villa,0.578,0.319,0.102,SouthamptonAston Villa
1,Manchester Utd,Manchester City,0.132,0.282,0.586,Manchester UtdManchester City
2,Brentford,Norwich City,0.862,0.052000000000000005,0.086,BrentfordNorwich City
3,Chelsea,Burnley,0.983,0.011000000000000001,0.006,ChelseaBurnley
4,Crystal Palace,Wolves,0.24100000000000002,0.408,0.35100000000000003,Crystal PalaceWolves
5,Brighton,Newcastle Utd,0.833,0.10300000000000001,0.063,BrightonNewcastle Utd
6,Arsenal,Watford,0.925,0.052000000000000005,0.023,ArsenalWatford
7,Everton,Tottenham,0.17800000000000002,0.408,0.414,EvertonTottenham
8,Leeds United,Leicester City,0.092,0.19699999999999998,0.711,Leeds UnitedLeicester City
9,West Ham,Liverpool,0.07400000000000001,0.14800000000000002,0.778,West HamLiverpool
0,Leicester City,Chelsea,0.048,0.16699999999999998,0.7859999999999999,Leicester CityChelsea
1,Aston Villa,Brighton,0.35100000000000003,0.374,0.275,Aston VillaBrighton
2,Burnley,Crystal Palace,0.17,0.21100000000000002,0.62,BurnleyCrystal Palace
3,Newcastle Utd,Brentford,0.42100000000000004,0.363,0.21600000000000003,Newcastle UtdBrentford
4,Norwich City,Southampton,0.135,0.158,0.708,Norwich CitySouthampton
5,Watford,Manchester Utd,0.023,0.035,0.9420000000000001,WatfordManchester Utd
6,Wolves,West Ham,0.094,0.292,0.614,WolvesWest Ham
7,Liverpool,Arsenal,0.919,0.052000000000000005,0.028999999999999998,LiverpoolArsenal
8,Manchester City,Everton,0.966,0.023,0.011000000000000001,Manchester CityEverton
9,Tottenham,Leeds United,0.8740000000000001,0.086,0.04,TottenhamLeeds United
0,Arsenal,Newcastle Utd,0.917,0.032,0.051,ArsenalNewcastle Utd
1,Crystal Palace,Aston Villa,0.5589999999999999,0.304,0.13699999999999998,Crystal PalaceAston Villa
2,Liverpool,Southampton,0.9690000000000001,0.019,0.012,LiverpoolSouthampton
3,Norwich City,Wolves,0.09300000000000001,0.168,0.7390000000000001,Norwich CityWolves
4,Brighton,Leeds United,0.677,0.23600000000000002,0.087,BrightonLeeds United
5,Brentford,Everton,0.17,0.39399999999999996,0.436,BrentfordEverton
6,Leicester City,Watford,0.873,0.085,0.042,Leicester CityWatford
7,(2.),West Ham,0.867,0.115,0.018000000000000002,(2.)West Ham
8,Chelsea,Manchester Utd,0.861,0.085,0.055,ChelseaManchester Utd
9,Burnley,Tottenham,0.022000000000000002,0.071,0.907,BurnleyTottenham
0,Newcastle Utd,Norwich City,0.68,0.207,0.113,Newcastle UtdNorwich City
1,Leeds United,Crystal Palace,0.456,0.322,0.221,Leeds UnitedCrystal Palace
2,Watford,Chelsea,0.019,0.037000000000000005,0.9440000000000001,WatfordChelsea
3,West Ham,Brighton,0.92,0.068,0.012,West HamBrighton
4,Wolves,Burnley,0.821,0.142,0.037000000000000005,WolvesBurnley
5,Southampton,Leicester City,0.105,0.272,0.623,SouthamptonLeicester City
6,Aston Villa,Manchester City,0.031,0.031,0.938,Aston VillaManchester City
7,Everton,Liverpool,0.025,0.08,0.895,EvertonLiverpool
8,Tottenham,Brentford,0.8909999999999999,0.085,0.024,TottenhamBrentford
9,Manchester Utd,Arsenal,0.6729999999999999,0.248,0.079,Manchester UtdArsenal
0,West Ham,Chelsea,0.086,0.16,0.753,West HamChelsea
1,Newcastle Utd,Burnley,0.654,0.253,0.09300000000000001,Newcastle UtdBurnley
2,Southampton,Brighton,0.414,0.34600000000000003,0.24100000000000002,SouthamptonBrighton
3,Wolves,Liverpool,0.025,0.031,0.9440000000000001,WolvesLiverpool
4,Watford,Manchester City,0.018000000000000002,0.018000000000000002,0.963,WatfordManchester City
5,Leeds United,Brentford,0.584,0.325,0.09,Leeds UnitedBrentford
6,Manchester Utd,Crystal Palace,0.9279999999999999,0.06,0.012,Manchester UtdCrystal Palace
7,Tottenham,Norwich City,0.97,0.024,0.006,TottenhamNorwich City
8,Aston Villa,Leicester City,0.185,0.387,0.429,Aston VillaLeicester City
9,Everton,Arsenal,0.188,0.253,0.5589999999999999,EvertonArsenal
0,Brentford,Watford,0.6829999999999999,0.205,0.11199999999999999,BrentfordWatford
1,Manchester City,Wolves,0.97,0.006,0.024,Manchester CityWolves
2,Arsenal,Southampton,0.893,0.06,0.048,ArsenalSouthampton
3,Chelsea,Leeds United,0.976,0.012,0.012,ChelseaLeeds United
4,Liverpool,Aston Villa,0.9640000000000001,0.024,0.012,LiverpoolAston Villa
5,Norwich City,Manchester Utd,0.018000000000000002,0.024,0.9590000000000001,Norwich CityManchester Utd
6,Burnley,West Ham,0.028999999999999998,0.064,0.907,BurnleyWest Ham
7,Leicester City,Newcastle Utd,0.895,0.07,0.035,Leicester CityNewcastle Utd
8,Crystal Palace,Everton,0.231,0.532,0.237,Crystal PalaceEverton
9,Brighton,Tottenham,0.053,0.235,0.711,BrightonTottenham
0,Norwich City,Aston Villa,0.136,0.16899999999999998,0.695,Norwich CityAston Villa
1,Manchester City,Leeds United,0.9740000000000001,0.019,0.006,Manchester CityLeeds United
2,Brighton,Wolves,0.32299999999999995,0.46,0.217,BrightonWolves
3,Crystal Palace,Southampton,0.6829999999999999,0.217,0.099,Crystal PalaceSouthampton
4,Arsenal,West Ham,0.45299999999999996,0.311,0.23600000000000002,ArsenalWest Ham
5,Chelsea,Everton,0.976,0.012,0.012,ChelseaEverton
6,Liverpool,Newcastle Utd,0.988,0.0,0.012,LiverpoolNewcastle Utd
7,Leicester City,Tottenham,0.455,0.331,0.213,Leicester CityTottenham
8,Brentford,Manchester Utd,0.035,0.069,0.8959999999999999,BrentfordManchester Utd
9,Burnley,Watford,0.364,0.428,0.209,BurnleyWatford
0,Leeds United,Arsenal,0.07400000000000001,0.142,0.784,Leeds UnitedArsenal
1,Newcastle Utd,Manchester City,0.024,0.03,0.945,Newcastle UtdManchester City
2,Wolves,Chelsea,0.055,0.085,0.861,WolvesChelsea
3,Tottenham,Liverpool,0.048,0.127,0.825,TottenhamLiverpool
4,Southampton,Brentford,0.46799999999999997,0.392,0.14,SouthamptonBrentford
