,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,game_home_ID,game_away_ID,Wk_h,Wk_a,rating_h_gk,rating_h_df,rating_h_mf,rating_h_att,rating_h_bench,influence_h,creativity_h,threat_h,bps_h,selected_h,rating_a_gk,rating_a_df,rating_a_mf,rating_a_att,rating_a_bench,influence_a,creativity_a,threat_a,bps_a,selected_a
0,2021-08-13,20:00,Brentford,Arsenal,2,0,H,Brentford2021-08-13,Arsenal2021-08-13,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-08-14,12:30,Manchester Utd,Leeds United,5,1,H,Manchester Utd2021-08-14,Leeds United2021-08-14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-08-14,15:00,Burnley,Brighton,1,2,A,Burnley2021-08-14,Brighton2021-08-14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-08-14,15:00,Chelsea,Crystal Palace,3,0,H,Chelsea2021-08-14,Crystal Palace2021-08-14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-08-14,15:00,Everton,Southampton,3,1,H,Everton2021-08-14,Southampton2021-08-14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-08-14,15:00,Leicester City,Wolves,1,0,H,Leicester City2021-08-14,Wolves2021-08-14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-08-14,15:00,Watford,Aston Villa,3,2,H,Watford2021-08-14,Aston Villa2021-08-14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-08-14,17:30,Norwich City,Liverpool,0,3,A,Norwich City2021-08-14,Liverpool2021-08-14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-08-15,14:00,Newcastle Utd,West Ham,2,4,A,Newcastle Utd2021-08-15,West Ham2021-08-15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-08-15,16:30,Tottenham,Manchester City,1,0,H,Tottenham2021-08-15,Manchester City2021-08-15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-08-21,12:30,Liverpool,Burnley,2,0,H,Liverpool2021-08-21,Burnley2021-08-21,2,2,58.82931747382981,141.03547396747229,38.483014245705334,102.09987188903753,22.3027701393334,218.4,172.80000000000004,233.0,219.0,9630004.0,39.31154520566925,95.12151984804628,55.65770077053114,24.274390234471376,11.419157361018168,158.6,99.80000000000001,92.0,93.0,1331511.0
11,2021-08-21,15:00,Aston Villa,Newcastle Utd,2,0,H,Aston Villa2021-08-21,Newcastle Utd2021-08-21,2,2,30.434593755373907,129.40938714745673,33.41996978710443,34.50833669100527,38.981047921644844,167.39999999999998,61.60000000000001,66.0,145.0,6423262.0,23.573293025080204,85.24466790909041,61.8931964070826,51.84950038196091,53.831242623643526,260.6,142.0,154.0,183.0,1013344.0
12,2021-08-21,15:00,Crystal Palace,Brentford,0,0,D,Crystal Palace2021-08-21,Brentford2021-08-21,2,2,28.082737003388125,87.28880863080678,41.11626028407082,15.53627477759181,41.87434008762724,116.2,46.7,38.0,106.0,1087664.0,58.27614387003359,100.52208213463686,63.22543319292242,16.80464518487483,10.639345972266039,215.59999999999997,86.2,113.0,210.0,2387936.0
13,2021-08-21,15:00,Leeds United,Everton,2,2,D,Leeds United2021-08-21,Everton2021-08-21,2,2,11.36001364667386,144.77498633870772,26.21306767461088,66.30989032872795,16.760569315704014,176.79999999999998,85.7,56.0,118.0,5247493.0,40.08564909710555,66.6477345392918,146.14887538539017,20.043021108155155,33.397946710632944,248.60000000000002,119.39999999999998,220.0,166.0,3488906.0
14,2021-08-21,15:00,Manchester City,Norwich City,5,0,H,Manchester City2021-08-21,Norwich City2021-08-21,2,2,27.111776422645864,88.52236558483084,20.14372590047796,62.3104578309897,145.83635877000668,85.6,92.4,141.0,78.0,5982454.0,35.407269848708566,126.62717465670167,71.14273338364093,65.93678329200941,24.604103255150115,204.8,132.79999999999998,137.0,144.0,1398541.0
15,2021-08-21,17:30,Brighton,Watford,2,0,H,Brighton2021-08-21,Watford2021-08-21,2,2,38.9069783803219,142.18235022778276,28.98743060278384,56.63415608259598,61.835245060135385,226.59999999999997,111.3,183.0,175.0,3598510.0,15.868776353508393,69.35988446603847,136.02049868839174,64.61614284172228,30.939693363679098,209.2,129.5,141.0,157.0,426440.0
16,2021-08-22,14:00,Southampton,Manchester Utd,1,1,D,Southampton2021-08-22,Manchester Utd2021-08-22,2,2,39.42157894229671,113.27030469917196,72.45507760616515,51.64333271459053,9.546953861805475,193.39999999999998,88.7,101.0,140.0,787141.0,31.98652376451087,115.86511769259471,86.42294187958635,109.12253366228768,56.568022597791156,333.40000000000003,175.0,130.0,233.0,9763221.0
17,2021-08-22,14:00,Wolves,Tottenham,0,1,A,Wolves2021-08-22,Tottenham2021-08-22,2,2,51.5175649393586,120.99119098946781,54.099309881643734,55.99146358091712,60.78806666675387,152.39999999999998,156.2,193.0,126.0,1173403.0,56.2744072247576,63.47310627458757,72.8159079160629,70.3451353215849,9.825752125984744,205.00000000000003,135.4,129.0,192.0,2348114.0
18,2021-08-22,16:30,Arsenal,Chelsea,0,2,A,Arsenal2021-08-22,Chelsea2021-08-22,2,2,17.601978970087277,65.30675690647959,142.03942010091868,43.381100693281425,57.969588799419064,119.20000000000002,261.2,160.0,101.0,2732514.0,31.87758239335218,199.0819422623695,101.17340103522854,59.09031089384899,54.59186684629478,171.39999999999998,120.09999999999998,74.0,202.0,5004098.0
