,HomeTeam,AwayTeam,FTR,H,D,A,player_stats_vote
0,Crystal Palace,Tottenham,H,0.6376934523809525,0.17600297619047628,0.18630357142857143,H
1,Arsenal,Norwich City,H,0.6595922619047618,0.2092827380952381,0.13112500000000002,H
2,Brentford,Brighton,A,0.16952678571428564,0.15128125000000003,0.6791919642857144,A
3,Leicester City,Manchester City,A,0.10387202380952379,0.15683630952380953,0.7392916666666665,A
4,Manchester Utd,Newcastle Utd,H,0.8673630952380953,0.0680922619047619,0.06454464285714287,H
5,Southampton,West Ham,D,0.1855758928571429,0.6175059523809526,0.19691815476190475,D
6,Watford,Wolves,A,0.20046428571428573,0.15538392857142858,0.644151785714286,A
7,Chelsea,Aston Villa,H,0.7642380952380954,0.1266160714285714,0.10914583333333336,H
8,Leeds United,Liverpool,A,0.08966369047619047,0.14899255952380944,0.7613437500000002,A
9,Everton,Burnley,H,0.8210416666666666,0.08983333333333336,0.089125,H
10,Newcastle Utd,Leeds United,D,0.15201190476190474,0.6828839285714285,0.16510416666666664,D
11,Wolves,Brentford,A,0.21952777777777782,0.13393750000000001,0.6465347222222223,A
12,Burnley,Arsenal,A,0.12036607142857139,0.2044464285714285,0.6751875000000002,A
13,Liverpool,Crystal Palace,H,0.7406800595238093,0.13407837301587303,0.12524156746031742,H
14,Manchester City,Southampton,D,0.27999255952380964,0.589263392857143,0.1307440476190476,D
15,Norwich City,Watford,A,0.15710515873015873,0.1453670634920635,0.6975277777777777,A
16,Aston Villa,Everton,H,0.6508511904761906,0.18871130952380955,0.16043749999999998,H
17,Brighton,Leicester City,H,0.7240208333333333,0.12708333333333335,0.1488958333333333,H
18,West Ham,Manchester Utd,A,0.1183125,0.09191666666666665,0.7897708333333335,A
19,Tottenham,Chelsea,A,0.13881696428571427,0.16493750000000001,0.6962455357142858,A
20,Chelsea,Manchester City,A,0.14818154761904764,0.12152380952380953,0.730294642857143,A
21,Manchester Utd,Aston Villa,A,0.31745386904761913,0.11448511904761911,0.5680610119047619,A
22,Everton,Norwich City,H,0.8166071428571429,0.08199999999999999,0.10139285714285712,H
23,Leeds United,West Ham,A,0.13194345238095234,0.11490972222222222,0.7531468253968252,A
24,Leicester City,Burnley,D,0.2657440476190477,0.6221101190476191,0.11214583333333333,D
25,Watford,Newcastle Utd,D,0.20845238095238097,0.6704761904761903,0.12107142857142855,D
26,Brentford,Liverpool,D,0.10595833333333333,0.6141249999999999,0.2799166666666667,D
27,Southampton,Wolves,A,0.16932043650793652,0.11731547619047616,0.7133640873015875,A
28,Arsenal,Tottenham,H,0.6353750000000001,0.13314583333333324,0.23147916666666662,H
29,Crystal Palace,Brighton,D,0.1973809523809524,0.6267569444444444,0.17586210317460313,D
30,Manchester Utd,Everton,D,0.25451934523809533,0.6075401785714287,0.1379404761904761,D
31,Burnley,Norwich City,D,0.17464583333333333,0.7129613095238099,0.11239285714285713,D
32,Chelsea,Southampton,H,0.7849136904761908,0.08095833333333331,0.13412797619047614,H
33,Leeds United,Watford,H,0.6925,0.14173809523809522,0.16576190476190483,H
34,Wolves,Newcastle Utd,H,0.690860119047619,0.17406696428571425,0.13507291666666663,H
35,Brighton,Arsenal,D,0.2710863095238095,0.5792261904761904,0.14968749999999992,D
36,Crystal Palace,Leicester City,D,0.10563690476190477,0.6706130952380954,0.2237499999999999,D
37,Tottenham,Aston Villa,H,0.7945684523809523,0.12643749999999995,0.07899404761904763,H
38,West Ham,Brentford,A,0.32912500000000017,0.09964583333333328,0.5712291666666663,A
39,Liverpool,Manchester City,D,0.22789285714285706,0.6072589285714285,0.16484821428571425,D
40,Watford,Liverpool,A,0.08380357142857144,0.1345029761904762,0.7816934523809522,A
41,Aston Villa,Wolves,A,0.23104166666666676,0.08943749999999998,0.6795208333333335,A
42,Leicester City,Manchester Utd,H,0.5983943452380955,0.11666369047619048,0.2849419642857144,H
43,Manchester City,Burnley,H,0.8664315476190475,0.07650892857142857,0.05705952380952382,H
44,Norwich City,Brighton,D,0.11134374999999996,0.5941651785714286,0.29449107142857156,D
45,Southampton,Leeds United,H,0.7033928571428573,0.1783363095238095,0.11827083333333333,H
46,Brentford,Chelsea,A,0.09595833333333335,0.10077083333333332,0.8032708333333336,A
47,Everton,West Ham,A,0.20499404761904763,0.11937499999999998,0.675630952380952,A
48,Newcastle Utd,Tottenham,A,0.10764583333333329,0.1521845238095238,0.740169642857143,A
49,Arsenal,Crystal Palace,D,0.1959275793650794,0.646373511904762,0.1576989087301587,D
50,Arsenal,Aston Villa,H,0.42810119047619055,0.2523541666666666,0.3195446428571429,H
51,Chelsea,Norwich City,H,0.6573541666666665,0.12931249999999997,0.21333333333333335,H
52,Crystal Palace,Newcastle Utd,D,0.540110119047619,0.18044047619047618,0.2794494047619047,H
53,Everton,Watford,A,0.7133869047619044,0.14049999999999999,0.1461130952380952,H
54,Leeds United,Wolves,D,0.3494523809523809,0.32047321428571435,0.3300744047619048,H
55,Southampton,Burnley,D,0.5604583333333334,0.18663541666666666,0.2529062500000001,H
56,Brighton,Manchester City,A,0.1902589285714286,0.22266666666666654,0.5870744047619048,A
57,Brentford,Leicester City,A,0.18131250000000002,0.3560625000000001,0.462625,A
58,West Ham,Tottenham,H,0.40927083333333336,0.26099999999999995,0.3297291666666666,H
