player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,matchweek
Petr Čech,4.0,3.0,1.0,25.0,2.4, (Matchweek 1)
Kasper Schmeichel,10.0,4.0,6.0,60.0,3.0, (Matchweek 1)
Heurelho Gomes,4.0,3.0,2.0,50.0,3.1, (Matchweek 1)
Simon Mignolet,5.0,3.0,1.0,40.0,2.8, (Matchweek 1)
Wayne Hennessey,6.0,3.0,4.0,50.0,2.0, (Matchweek 1)
Jonas Lössl,4.0,0.0,4.0,100.0,1.5, (Matchweek 1)
Ben Foster,2.0,0.0,2.0,100.0,0.2, (Matchweek 1)
Asmir Begović,6.0,1.0,5.0,83.3,1.4, (Matchweek 1)
Thibaut Courtois,5.0,3.0,2.0,40.0,1.2, (Matchweek 1)
Tom Heaton,6.0,2.0,4.0,66.7,1.8, (Matchweek 1)
Jordan Pickford,1.0,0.0,1.0,100.0,0.1, (Matchweek 1)
Jack Butland,4.0,1.0,3.0,75.0,0.3, (Matchweek 1)
Fraser Forster,0.0,0.0,0.0,0.0,0.0, (Matchweek 1)
Łukasz Fabiański,2.0,0.0,2.0,100.0,0.3, (Matchweek 1)
Mathew Ryan,4.0,2.0,3.0,50.0,1.6, (Matchweek 1)
Ederson,2.0,0.0,2.0,100.0,0.4, (Matchweek 1)
Rob Elliot,6.0,2.0,4.0,66.7,1.0, (Matchweek 1)
Hugo Lloris,3.0,0.0,3.0,100.0,0.8, (Matchweek 1)
David de Gea,1.0,0.0,1.0,100.0,0.1, (Matchweek 1)
Joe Hart,5.0,4.0,1.0,20.0,2.4, (Matchweek 1)
Łukasz Fabiański,8.0,4.0,3.0,50.0,3.3, (Matchweek 2)
David de Gea,1.0,0.0,1.0,100.0,0.0, (Matchweek 2)
Asmir Begović,7.0,2.0,5.0,71.4,2.7, (Matchweek 2)
Heurelho Gomes,3.0,0.0,3.0,100.0,0.8, (Matchweek 2)
Fraser Forster,8.0,2.0,5.0,75.0,1.9, (Matchweek 2)
Joe Hart,3.0,3.0,2.0,66.7,2.5, (Matchweek 2)
Kasper Schmeichel,2.0,0.0,2.0,100.0,0.1, (Matchweek 2)
Mathew Ryan,3.0,2.0,1.0,33.3,1.3, (Matchweek 2)
Tom Heaton,1.0,1.0,0.0,0.0,0.2, (Matchweek 2)
Ben Foster,1.0,0.0,1.0,100.0,0.8, (Matchweek 2)
Simon Mignolet,1.0,0.0,1.0,100.0,0.0, (Matchweek 2)
Wayne Hennessey,13.0,1.0,12.0,92.3,2.0, (Matchweek 2)
Jack Butland,7.0,0.0,7.0,100.0,1.2, (Matchweek 2)
Petr Čech,4.0,1.0,3.0,75.0,1.7, (Matchweek 2)
Jonas Lössl,5.0,0.0,5.0,100.0,1.2, (Matchweek 2)
Rob Elliot,3.0,1.0,2.0,66.7,0.8, (Matchweek 2)
Hugo Lloris,2.0,2.0,0.0,0.0,0.8, (Matchweek 2)
Thibaut Courtois,5.0,1.0,5.0,80.0,0.4, (Matchweek 2)
Ederson,2.0,1.0,1.0,50.0,0.8, (Matchweek 2)
Jordan Pickford,6.0,1.0,5.0,83.3,0.8, (Matchweek 2)
Asmir Begović,8.0,2.0,6.0,75.0,2.4, (Matchweek 3)
Ederson,3.0,1.0,2.0,66.7,1.1, (Matchweek 3)
Jonas Lössl,2.0,0.0,2.0,100.0,0.7, (Matchweek 3)
Fraser Forster,6.0,0.0,6.0,100.0,1.8, (Matchweek 3)
Heurelho Gomes,2.0,0.0,2.0,100.0,0.1, (Matchweek 3)
Mathew Ryan,0.0,0.0,0.0,0.0,0.0, (Matchweek 3)
Wayne Hennessey,3.0,2.0,1.0,33.3,1.2, (Matchweek 3)
Łukasz Fabiański,3.0,0.0,3.0,100.0,0.5, (Matchweek 3)
Rob Elliot,3.0,0.0,3.0,100.0,0.6, (Matchweek 3)
Joe Hart,8.0,3.0,5.0,62.5,3.1, (Matchweek 3)
David de Gea,4.0,0.0,4.0,100.0,0.8, (Matchweek 3)
Kasper Schmeichel,6.0,2.0,4.0,66.7,2.6, (Matchweek 3)
Thibaut Courtois,0.0,0.0,0.0,0.0,0.0, (Matchweek 3)
Jordan Pickford,7.0,2.0,5.0,71.4,1.8, (Matchweek 3)
Ben Foster,2.0,1.0,1.0,50.0,1.1, (Matchweek 3)
Jack Butland,2.0,1.0,1.0,50.0,0.4, (Matchweek 3)
Hugo Lloris,3.0,1.0,2.0,66.7,0.9, (Matchweek 3)
Tom Heaton,6.0,1.0,5.0,83.3,1.8, (Matchweek 3)
Loris Karius,0.0,0.0,0.0,0.0,0.0, (Matchweek 3)
Petr Čech,9.0,4.0,5.0,55.6,3.8, (Matchweek 3)
Ederson,3.0,0.0,3.0,100.0,0.5, (Matchweek 4)
Claudio Bravo,0.0,0.0,0.0,0.0,0.0, (Matchweek 4)
Simon Mignolet,10.0,5.0,5.0,50.0,3.2, (Matchweek 4)
Jordan Pickford,6.0,3.0,3.0,50.0,2.5, (Matchweek 4)
Hugo Lloris,0.0,0.0,0.0,0.0,0.0, (Matchweek 4)
Petr Čech,2.0,0.0,2.0,100.0,0.4, (Matchweek 4)
Asmir Begović,9.0,3.0,6.0,66.7,3.5, (Matchweek 4)
Kasper Schmeichel,6.0,2.0,4.0,66.7,1.5, (Matchweek 4)
Thibaut Courtois,1.0,1.0,1.0,100.0,1.0, (Matchweek 4)
Mathew Ryan,3.0,1.0,2.0,66.7,0.9, (Matchweek 4)
Ben Foster,6.0,3.0,3.0,50.0,1.3, (Matchweek 4)
Fraser Forster,3.0,2.0,1.0,33.3,0.4, (Matchweek 4)
Heurelho Gomes,1.0,0.0,1.0,100.0,0.0, (Matchweek 4)
Jack Butland,9.0,2.0,7.0,77.8,2.1, (Matchweek 4)
