player,shirtnumber,nationality,position,age,minutes,goals,assists,touches,sca,gca,pens_made,shots_total,shots_on_target,pressures,tackles,interceptions,blocks,xg,xa,passes,passes_pct,progressive_passes,progressive_carries,dribbles_completed,dribbles,matchweek
Marcus Rashford,10.0,eng ENG,FW,20-283,66.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,19.0,84.2,0.0,2.0,1.0,3.0, (Matchweek 1)
Romelu Lukaku,9.0,be BEL,FW,25-089,24.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.5,0.0,4.0,75.0,0.0,0.0,0.0,0.0, (Matchweek 1)
Alexis Sánchez,7.0,cl CHI,LW,29-234,90.0,0.0,0.0,57.0,5.0,1.0,0.0,1.0,0.0,19.0,2.0,3.0,1.0,0.0,0.7,43.0,60.5,2.0,7.0,0.0,1.0, (Matchweek 1)
Juan Mata,8.0,es ESP,RW,30-104,90.0,0.0,1.0,62.0,3.0,1.0,0.0,1.0,0.0,10.0,1.0,4.0,0.0,0.1,0.2,56.0,80.4,3.0,5.0,0.0,0.0, (Matchweek 1)
Paul Pogba,6.0,fr FRA,CM,25-148,83.0,1.0,0.0,86.0,3.0,0.0,1.0,1.0,1.0,17.0,1.0,1.0,3.0,0.8,0.0,65.0,83.1,5.0,3.0,3.0,5.0, (Matchweek 1)
Marouane Fellaini,27.0,be BEL,CM,30-261,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, (Matchweek 1)
Fred,17.0,br BRA,CM,25-158,75.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,4.0,3.0,0.0,0.0,54.0,90.7,4.0,4.0,0.0,2.0, (Matchweek 1)
Scott McTominay,39.0,sct SCO,CM,21-245,15.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,0.0,0.0, (Matchweek 1)
Andreas Pereira,15.0,br BRA,DM,22-221,90.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,20.0,3.0,7.0,1.0,0.0,0.0,59.0,91.5,2.0,1.0,0.0,0.0, (Matchweek 1)
Luke Shaw,23.0,eng ENG,LB,23-029,90.0,1.0,0.0,91.0,3.0,1.0,0.0,2.0,2.0,20.0,4.0,2.0,2.0,0.2,0.0,80.0,85.0,5.0,4.0,1.0,1.0, (Matchweek 1)
