player,team,matchweek,date,start11
Marek Rodák,Fulham,1.0,2020-09-12,True
Michael Hector,Fulham,1.0,2020-09-12,True
Denis Odoi,Fulham,1.0,2020-09-12,True
Neeskens Kebano,Fulham,1.0,2020-09-12,True
Tom Cairney,Fulham,1.0,2020-09-12,True
Tim Ream,Fulham,1.0,2020-09-12,True
Ivan Cavaleiro,Fulham,1.0,2020-09-12,True
Harrison Reed,Fulham,1.0,2020-09-12,True
Joe Bryan,Fulham,1.0,2020-09-12,True
Josh Onomah,Fulham,1.0,2020-09-12,True
Aboubakar Kamara,Fulham,1.0,2020-09-12,True
Alphonse Areola,Fulham,1.0,2020-09-12,False
Aleksandar Mitrović,Fulham,1.0,2020-09-12,False
Anthony Knockaert,Fulham,1.0,2020-09-12,False
Bobby Reid,Fulham,1.0,2020-09-12,False
Maxime Le Marchand,Fulham,1.0,2020-09-12,False
Cyrus Christie,Fulham,1.0,2020-09-12,False
Andre-Frank Zambo Anguissa,Fulham,1.0,2020-09-12,False
Bernd Leno,Arsenal,1.0,2020-09-12,True
Héctor Bellerín,Arsenal,1.0,2020-09-12,True
Kieran Tierney,Arsenal,1.0,2020-09-12,True
Gabriel Dos Santos,Arsenal,1.0,2020-09-12,True
Alexandre Lacazette,Arsenal,1.0,2020-09-12,True
Willian,Arsenal,1.0,2020-09-12,True
Pierre-Emerick Aubameyang,Arsenal,1.0,2020-09-12,True
Ainsley Maitland-Niles,Arsenal,1.0,2020-09-12,True
Rob Holding,Arsenal,1.0,2020-09-12,True
Mohamed Elneny,Arsenal,1.0,2020-09-12,True
Granit Xhaka,Arsenal,1.0,2020-09-12,True
Matt Macey,Arsenal,1.0,2020-09-12,False
Bukayo Saka,Arsenal,1.0,2020-09-12,False
Dani Ceballos,Arsenal,1.0,2020-09-12,False
Nicolas Pépé,Arsenal,1.0,2020-09-12,False
Joe Willock,Arsenal,1.0,2020-09-12,False
Eddie Nketiah,Arsenal,1.0,2020-09-12,False
Sead Kolašinac,Arsenal,1.0,2020-09-12,False
Vicente Guaita,Crystal Palace,1.0,2020-09-12,True
Joel Ward,Crystal Palace,1.0,2020-09-12,True
Scott Dann,Crystal Palace,1.0,2020-09-12,True
Cheikhou Kouyaté,Crystal Palace,1.0,2020-09-12,True
Jordan Ayew,Crystal Palace,1.0,2020-09-12,True
Andros Townsend,Crystal Palace,1.0,2020-09-12,True
Wilfried Zaha,Crystal Palace,1.0,2020-09-12,True
Jeffrey Schlupp,Crystal Palace,1.0,2020-09-12,True
James McArthur,Crystal Palace,1.0,2020-09-12,True
James McCarthy,Crystal Palace,1.0,2020-09-12,True
Tyrick Mitchell,Crystal Palace,1.0,2020-09-12,True
